name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_12-07,avg,otsu,13,38.14533,27.19628,-28.70351,0.98912,0.92494,-6.4886,45.90962,59.48913,29.57879
Case_12-08,avg,otsu,3,38.15361,25.99644,-31.86375,0.99041,0.94689,-4.39414,46.11494,49.75967,7.90358
Case_12-08,avg,otsu,5,38.15361,34.79998,-8.78981,0.99041,0.98212,-0.83703,46.11494,58.45098,26.75064
Case_12-08,avg,otsu,7,38.15361,32.64406,-14.44044,0.99041,0.97168,-1.89114,46.11494,54.7341,18.6906
Case_12-08,avg,otsu,9,38.15361,30.46959,-20.13969,0.99041,0.95899,-3.17242,46.11494,56.07989,21.60894
Case_12-08,avg,otsu,11,38.15361,28.82183,-24.45845,0.99041,0.94757,-4.32548,46.11494,55.7947,20.99051
Case_12-08,avg,otsu,13,38.15361,27.56316,-27.7574,0.99041,0.93821,-5.27054,46.11494,60.24152,30.63341
Case_12-09,avg,otsu,3,38.29541,25.93875,-32.26669,0.99125,0.94916,-4.24615,46.50215,49.83022,7.15681
Case_12-09,avg,otsu,5,38.29541,34.74942,-9.25957,0.99125,0.98366,-0.7657,46.50215,58.23047,25.22103
Case_12-09,avg,otsu,7,38.29541,32.64276,-14.76065,0.99125,0.97458,-1.68172,46.50215,55.0245,18.32679
Case_12-09,avg,otsu,9,38.29541,30.46694,-20.44232,0.99125,0.96304,-2.8459,46.50215,56.23062,20.92047
Case_12-09,avg,otsu,11,38.29541,28.81742,-24.74968,0.99125,0.95235,-3.92434,46.50215,56.32516,21.12378
Case_12-09,avg,otsu,13,38.29541,27.5559,-28.04386,0.99125,0.94334,-4.83329,46.50215,60.32841,29.73252
Case_12-10,avg,otsu,3,37.95167,26.42742,-30.36559,0.99011,0.95341,-3.70666,51.44423,47.07215,-8.49868
Case_12-10,avg,otsu,5,37.95167,35.55328,-6.31959,0.99011,0.98696,-0.31815,51.44423,54.92797,6.77188
Case_12-10,avg,otsu,7,37.95167,34.22187,-9.82776,0.99011,0.98283,-0.73527,51.44423,52.31229,1.68738
Case_12-10,avg,otsu,9,37.95167,32.01791,-15.63504,0.99011,0.97537,-1.48872,51.44423,53.43944,3.87839
Case_12-10,avg,otsu,11,37.95167,30.14801,-20.5621,0.99011,0.96727,-2.30681,51.44423,53.25667,3.52312
Case_12-10,avg,otsu,13,37.95167,28.64948,-24.51062,0.99011,0.95967,-3.07441,51.44423,57.24407,11.27403
