name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_11-12,gauss,1,2,12,35.80086,33.52986,-6.34342,0.96176,0.95486,-0.71743,0.99654,0.98983,-0.67333
Case_11-13,gauss,1,0.4,2,37.6792,22.87865,-39.28043,0.96567,0.88221,-8.6427,0.99733,0.89946,-9.8132
Case_11-13,gauss,1,0.7,4,37.6792,35.45553,-5.90158,0.96567,0.96387,-0.1864,0.99733,0.99403,-0.33088
Case_11-13,gauss,1,1.1,6,37.6792,37.00924,-1.77806,0.96567,0.96768,0.20815,0.99733,0.99608,-0.12533
Case_11-13,gauss,1,1.4,8,37.6792,36.75279,-2.45868,0.96567,0.96712,0.15015,0.99733,0.99555,-0.17848
Case_11-13,gauss,1,1.7,10,37.6792,36.0762,-4.25434,0.96567,0.96487,-0.08284,0.99733,0.99434,-0.2998
Case_11-13,gauss,1,2,12,37.6792,35.21249,-6.54661,0.96567,0.96129,-0.45357,0.99733,0.99259,-0.47527
Case_11-15,gauss,1,0.4,2,34.82427,23.57593,-32.30029,0.97127,0.89821,-7.52211,0.99486,0.89897,-9.63854
Case_11-15,gauss,1,0.7,4,34.82427,34.10525,-2.06471,0.97127,0.9708,-0.04839,0.99486,0.99238,-0.24928
Case_11-15,gauss,1,1.1,6,34.82427,34.82762,0.00962,0.97127,0.97359,0.23886,0.99486,0.99348,-0.13871
Case_11-15,gauss,1,1.4,8,34.82427,34.50387,-0.92005,0.97127,0.97223,0.09884,0.99486,0.99213,-0.27441
Case_11-15,gauss,1,1.7,10,34.82427,33.69208,-3.25115,0.97127,0.96843,-0.2924,0.99486,0.98928,-0.56088
Case_11-15,gauss,1,2,12,34.82427,32.68619,-6.13963,0.97127,0.96291,-0.86073,0.99486,0.98515,-0.97602
Case_12-01,gauss,1,0.4,2,34.87843,24.08206,-30.95429,0.97994,0.92153,-5.96057,0.99658,0.9365,-6.02862
Case_12-01,gauss,1,0.7,4,34.87843,33.98951,-2.54862,0.97994,0.9794,-0.05511,0.99658,0.99464,-0.19467
Case_12-01,gauss,1,1.1,6,34.87843,35.03681,0.45409,0.97994,0.98244,0.25512,0.99658,0.99592,-0.06623
Case_12-01,gauss,1,1.4,8,34.87843,35.0975,0.6281,0.97994,0.98271,0.28267,0.99658,0.99565,-0.09332
Case_12-01,gauss,1,1.7,10,34.87843,34.77502,-0.29649,0.97994,0.98187,0.19695,0.99658,0.99479,-0.17961
Case_12-01,gauss,1,2,12,34.87843,34.17767,-2.00915,0.97994,0.98017,0.02347,0.99658,0.9934,-0.31909
Case_12-02,gauss,1,0.4,2,34.76286,24.77689,-28.72597,0.98121,0.92997,-5.22212,0.99562,0.93247,-6.34278
Case_12-02,gauss,1,0.7,4,34.76286,34.17721,-1.6847,0.98121,0.98112,-0.00917,0.99562,0.99379,-0.18381
Case_12-02,gauss,1,1.1,6,34.76286,35.02827,0.76349,0.98121,0.9836,0.24358,0.99562,0.995,-0.06227
Case_12-02,gauss,1,1.4,8,34.76286,35.06658,0.87369,0.98121,0.98376,0.25988,0.99562,0.99464,-0.09843
Case_12-02,gauss,1,1.7,10,34.76286,34.71946,-0.12485,0.98121,0.98285,0.16714,0.99562,0.99351,-0.21193
Case_12-02,gauss,1,2,12,34.76286,34.10104,-1.90381,0.98121,0.98113,-0.00815,0.99562,0.9917,-0.39372
Case_12-03,gauss,1,0.4,2,34.64716,24.63959,-28.88424,0.9801,0.92762,-5.35456,0.99648,0.9446,-5.20633
Case_12-03,gauss,1,0.7,4,34.64716,33.98797,-1.90258,0.9801,0.97999,-0.01122,0.99648,0.99484,-0.16458
