name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_10-08,avg,fixed_multilevel_tresholding,13,33.53521,23.94659,-28.59269,0.97055,0.85363,-12.04678,0.99412,0.88576,-10.90009,7.07475,63.30403,794.78823,0.991919994354248,0.747080028057098,-24.6834392547607
Case_10-09,avg,fixed_multilevel_tresholding,3,33.12456,24.27717,-26.70946,0.96886,0.91614,-5.44145,0.99415,0.92586,-6.86918,7.41659,7.94346,7.10394,0.991649985313416,0.966889977455139,-2.49685001373291
Case_10-09,avg,fixed_multilevel_tresholding,5,33.12456,31.44464,-5.07152,0.96886,0.95909,-1.0084,0.99415,0.98561,-0.85903,7.41659,18.20092,145.4082,0.991649985313416,0.97282999753952,-1.89785003662109
Case_10-09,avg,fixed_multilevel_tresholding,7,33.12456,28.85733,-12.88237,0.96886,0.93105,-3.90252,0.99415,0.96948,-2.48152,7.41659,34.2531,361.84432,0.991649985313416,0.933109998703003,-5.90328979492188
Case_10-09,avg,fixed_multilevel_tresholding,9,33.12456,26.70784,-19.37149,0.96886,0.89945,-7.16409,0.99415,0.94591,-4.85239,7.41659,47.47571,540.12855,0.991649985313416,0.875850021839142,-11.6774997711182
Case_10-09,avg,fixed_multilevel_tresholding,11,33.12456,25.19003,-23.95362,0.96886,0.87291,-9.90339,0.99415,0.91963,-7.49585,7.41659,56.69755,664.46925,0.991649985313416,0.811749994754791,-18.1414794921875
Case_10-09,avg,fixed_multilevel_tresholding,13,33.12456,24.09052,-27.27294,0.96886,0.85284,-11.9749,0.99415,0.89289,-10.18559,7.41659,63.29527,753.42819,0.991649985313416,0.747780025005341,-24.5923404693604
Case_10-10,avg,fixed_multilevel_tresholding,3,33.95052,24.06299,-29.12335,0.96517,0.90315,-6.42581,0.99297,0.90259,-9.10199,7.12883,6.98636,-1.9985,0.989170014858246,0.954850018024445,-3.46957993507385
Case_10-10,avg,fixed_multilevel_tresholding,5,33.95052,32.11668,-5.40151,0.96517,0.95379,-1.17907,0.99297,0.98425,-0.87817,7.12883,15.3777,115.71141,0.989170014858246,0.970130026340485,-1.92483997344971
Case_10-10,avg,fixed_multilevel_tresholding,7,33.95052,29.82845,-12.1414,0.96517,0.92531,-4.12984,0.99297,0.96967,-2.3465,7.12883,28.61531,301.40261,0.989170014858246,0.931289970874786,-5.85136985778809
Case_10-10,avg,fixed_multilevel_tresholding,9,33.95052,27.87195,-17.9042,0.96517,0.89567,-7.2008,0.99297,0.94901,-4.42712,7.12883,39.67526,456.54659,0.989170014858246,0.878359973430634,-11.202320098877
Case_10-10,avg,fixed_multilevel_tresholding,11,33.95052,26.49319,-21.96529,0.96517,0.87221,-9.63146,0.99297,0.92709,-6.63464,7.12883,47.52134,566.60784,0.989170014858246,0.821959972381592,-16.9040794372559
Case_10-10,avg,fixed_multilevel_tresholding,13,33.95052,25.48991,-24.92041,0.96517,0.85513,-11.4011,0.99297,0.90555,-8.80389,7.12883,53.22174,646.57048,0.989170014858246,0.767539978027344,-22.4056606292725
Case_11-07,avg,fixed_multilevel_tresholding,3,34.08888,22.79936,-33.1179,0.9629,0.88163,-8.44013,0.99504,0.89398,-10.15638,5.72138,6.32375,10.5284,0.991829991340637,0.949320018291473,-4.28600978851318
Case_11-07,avg,fixed_multilevel_tresholding,5,34.08888,32.47918,-4.72207,0.9629,0.95703,-0.60962,0.99504,0.98777,-0.73062,5.72138,14.01671,144.98827,0.991829991340637,0.976719975471497,-1.5234500169754
Case_11-07,avg,fixed_multilevel_tresholding,7,34.08888,30.08246,-11.75286,0.9629,0.93157,-3.25371,0.99504,0.97493,-2.02102,5.72138,27.05115,372.80813,0.991829991340637,0.94252997636795,-4.97061014175415
Case_11-07,avg,fixed_multilevel_tresholding,9,34.08888,27.89559,-18.16807,0.9629,0.90026,-6.50535,0.99504,0.95474,-4.05009,5.72138,38.41476,571.42473,0.991829991340637,0.890579998493195,-10.208399772644
Case_11-07,avg,fixed_multilevel_tresholding,11,34.08888,26.3447,-22.71761,0.9629,0.87274,-9.36338,0.99504,0.93194,-6.34145,5.72138,46.66487,715.62263,0.991829991340637,0.830309987068176,-16.2850494384766
Case_11-07,avg,fixed_multilevel_tresholding,13,34.08888,25.2362,-25.96941,0.9629,0.85154,-11.56506,0.99504,0.90894,-8.65292,5.72138,52.66635,820.5183,0.991829991340637,0.769389986991882,-22.4272308349609
Case_11-09,avg,fixed_multilevel_tresholding,3,38.54692,23.15854,-39.92117,0.96482,0.89696,-7.03344,0.99678,0.8726,-12.45812,2.68889,2.69361,0.17554,0.989369988441467,0.942659974098206,-4.72118997573853
Case_11-09,avg,fixed_multilevel_tresholding,5,38.54692,35.57915,-7.69911,0.96482,0.96508,0.02695,0.99678,0.99039,-0.64106,2.68889,4.24129,57.73386,0.989369988441467,0.988250017166138,-0.113200001418591
